tax_id	name_txt
1095630	Hyaloscypha bicolor E
38457	Monilinia fructigena
5076	Penicillium chrysogenum
5078	Penicillium griseofulvum
1378263	Ogataea philodendri
75736	Starmerella bombicola
1033177	Aspergillus luchuensis IFO 4308
2004951	Cordyceps sp. RAO-2017
602072	Aspergillus carbonarius ITEM 5010
323545	Xylaria multiplex
1314778	Polyporus arcularius HHB13444
1314776	Sistotremastrum suecicum HHB10207 ss-3
5087	Thermoascus aurantiacus
1051616	Verticillium nonalfalfae
1314777	Sistotremastrum niveocremeum HHB9708
1314781	Exidia glandulosa HHB12029
334819	Fusarium verticillioides 7600
1314782	Neolentinus lepideus HHB14362 ss-1
1314783	Daedalea quercina L-15889
1314785	Laetiporus sulphureus 93-53
510952	Neurospora tetrasperma FGSC 2509
5098	Monascus purpureus
61420	Aspergillus caelatus
452589	Trichoderma atroviride IMI 206040
1314800	Rhizopogon vinicolor AM-OR11-026
80884	Colletotrichum higginsianum
1423351	Rhizoctonia solani 123E
227321	Aspergillus nidulans FGSC A4
6199	Cestoda
147541	Dothideomycetes
4891	Saccharomycetes
3398	Magnoliopsida
155619	Agaricomycetes
147545	Eurotiomycetes
6157	Platyhelminthes
4890	Ascomycota
35493	Streptophyta
452332	Dacrymycetes
162481	Microbotryomycetes
147548	Leotiomycetes
147549	Pezizomycetes
147550	Sordariomycetes
